Compound_time_dose,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,meanID,ref_meanID,Probe_ID,GeneSymbol,ProbeNr,Entrez_ID,CELL_ID,TREATMENT,COMPOUND,COMPOUND_ABBR,DOSE,DOSE_LEVEL,TIME,TIMEPOINT,GeneSymbol_new,Entrez_ID_new
CSP_48hr_50uM,11.52623,0.6916355,0.35895320000000003,1.926812,0.054002999999999995,0.08775029,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AATF,AATF,,26574.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AATF,26574.0
CSP_48hr_50uM,1.020951,1.7483240000000002,0.8071819,2.1659599999999997,0.03031422,0.05292489,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AATK,AATK,,9625.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AATK,9625.0
CSP_48hr_50uM,0.7647470000000001,-3.728338,1.360753,-2.7399080000000002,0.006145647,0.01275961,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABAT,ABAT,,18.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABAT,18.0
CSP_48hr_50uM,2.933056,0.7323331,0.5492011,1.333452,0.1823836,0.2509768,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCA1,ABCA1,,19.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCA1,19.0
CSP_48hr_50uM,11.199000000000002,7.343710000000001,0.6055391,12.12756,7.5499999999999995e-34,4.2199999999999995e-32,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCA12,ABCA12,,26154.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCA12,26154.0
CSP_48hr_50uM,8.156077999999999,0.1151452,0.44289470000000003,0.2599832,0.7948767,0.8443624,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCA2,ABCA2,,20.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCA2,20.0
CSP_48hr_50uM,18.742070000000002,-1.0926040000000001,0.32564740000000003,-3.355176,0.0007931460000000001,0.002011624,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCA5,ABCA5,,23461.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCA5,23461.0
CSP_48hr_50uM,31.31182,-0.5832263000000001,0.28582670000000004,-2.040489,0.04130161,0.06941248,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCA7,ABCA7,,10347.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCA7,10347.0
CSP_48hr_50uM,77.92357,-1.8641729999999999,0.28469279999999997,-6.548014,5.83e-11,4.52e-10,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB1,ABCB1,,5243.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB1,5243.0
CSP_48hr_50uM,5.507746,1.185918,0.3654435,3.2451470000000002,0.0011739,0.00286844,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB10,ABCB10,,23456.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB10,23456.0
CSP_48hr_50uM,1.450074,5.027488,2.509466,2.0034099999999997,0.04513333,0.07496733,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB5,ABCB5,,340273.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB5,340273.0
CSP_48hr_50uM,4.49549,0.932773,0.48874179999999995,1.9085189999999999,0.05632418,0.09096591,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB6,ABCB6,,10058.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB6,10058.0
CSP_48hr_50uM,1.206877,2.51629,0.6896104000000001,3.648858,0.00026340900000000004,0.0007369910000000001,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB7,ABCB7,,22.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB7,22.0
CSP_48hr_50uM,4.060878,0.6660274,0.5072005999999999,1.313144,0.1891344,0.25850229999999996,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB8,ABCB8,,11194.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB8,11194.0
CSP_48hr_50uM,0.33578009999999997,2.65889,1.7253630000000002,1.541061,0.1233019,0.17957060000000002,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCB9,ABCB9,,23457.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCB9,23457.0
CSP_48hr_50uM,28.226809999999997,-1.70672,0.29498759999999996,-5.785736,7.21957e-09,4.28765e-08,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC1,ABCC1,,4363.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC1,4363.0
CSP_48hr_50uM,3.680269,1.765584,0.5142873,3.433069,0.0005967909999999999,0.001558902,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC10,ABCC10,,89845.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC10,89845.0
CSP_48hr_50uM,0.5516727,4.921192,1.217571,4.041811,5.304e-05,0.000171695,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC2,ABCC2,,1244.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC2,1244.0
CSP_48hr_50uM,57.702940000000005,0.06343022,0.32009509999999997,0.1981606,0.8429194,0.8835474,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC3,ABCC3,,8714.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC3,8714.0
CSP_48hr_50uM,401.7317,-1.7475470000000002,0.1575925,-11.08902,1.4199999999999998e-28,5.32e-27,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC4,ABCC4,,10257.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC4,10257.0
CSP_48hr_50uM,33.249970000000005,-1.064419,0.32449570000000005,-3.2802239999999996,0.001037245,0.0025675679999999997,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC5,ABCC5,,10057.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC5,10057.0
CSP_48hr_50uM,10.74351,-4.163394,0.5118378,-8.134205,4.1500000000000004e-16,5.79e-15,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC6,ABCC6,,368.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC6,368.0
CSP_48hr_50uM,0.27007,0.0,3.1375669999999998,0.0,1.0,1.0,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCC8,ABCC8,,6833.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCC8,6833.0
CSP_48hr_50uM,1.231162,1.728188,0.8066104000000001,2.142531,0.03215075,0.05570034,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCD1,ABCD1,,215.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCD1,215.0
CSP_48hr_50uM,1.199517,2.235752,0.843183,2.651561,0.008012056,0.01619608,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCD3,ABCD3,,5825.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCD3,5825.0
